questions,answers,categories,tags
"Need help with disable account temporarily, please.",For temporary account suspension (e.g., long leave), your manager needs to raise a request with the IT department.,Account Management,"account, disable, suspend, leave"
Can someone assist me regarding disable account temporarily?,For temporary account suspension (e.g., long leave), your manager needs to raise a request with the IT department.,Account Management,"account, disable, suspend, leave"
What should I do if disable account temporarily occurs?,For temporary account suspension (e.g., long leave), your manager needs to raise a request with the IT department.,Account Management,"account, disable, suspend, leave"
How do I resolve printer not working?,Check if the printer is on and connected to the network. Ensure you have selected the correct printer. Try restarting both your PC and the printer.,Peripherals,"peripheral, printer, printing, hardware"
I'm facing an issue with printer not working.,Check if the printer is on and connected to the network. Ensure you have selected the correct printer. Try restarting both your PC and the printer.,Peripherals,"peripheral, printer, printing, hardware"
"Need help with printer not working, please.",Check if the printer is on and connected to the network. Ensure you have selected the correct printer. Try restarting both your PC and the printer.,Peripherals,"peripheral, printer, printing, hardware"
Can someone assist me regarding printer not working?,Check if the printer is on and connected to the network. Ensure you have selected the correct printer. Try restarting both your PC and the printer.,Peripherals,"peripheral, printer, printing, hardware"
What should I do if printer not working occurs?,Check if the printer is on and connected to the network. Ensure you have selected the correct printer. Try restarting both your PC and the printer.,Peripherals,"peripheral, printer, printing, hardware"
How do I resolve install new printer?,To install a network printer, go to the printer list on your computer and search for printers. Select the correct one from the directory.,Peripherals,"peripheral, printer, install, setup"
I'm facing an issue with install new printer.,To install a network printer, go to the printer list on your computer and search for printers. Select the correct one from the directory.,Peripherals,"peripheral, printer, install, setup"
"Need help with install new printer, please.",To install a network printer, go to the printer list on your computer and search for printers. Select the correct one from the directory.,Peripherals,"peripheral, printer, install, setup"
Can someone assist me regarding install new printer?,To install a network printer, go to the printer list on your computer and search for printers. Select the correct one from the directory.,Peripherals,"peripheral, printer, install, setup"
What should I do if install new printer occurs?,To install a network printer, go to the printer list on your computer and search for printers. Select the correct one from the directory.,Peripherals,"peripheral, printer, install, setup"
How do I resolve paper jam?,Carefully follow the instructions on the printer's display to remove the jammed paper. Avoid tearing the paper. If unsure, contact IT.,Peripherals,"peripheral, printer, paper jam, error"
I'm facing an issue with paper jam.,Carefully follow the instructions on the printer's display to remove the jammed paper. Avoid tearing the paper. If unsure, contact IT.,Peripherals,"peripheral, printer, paper jam, error"
"Need help with paper jam, please.",Carefully follow the instructions on the printer's display to remove the jammed paper. Avoid tearing the paper. If unsure, contact IT.,Peripherals,"peripheral, printer, paper jam, error"
Can someone assist me regarding paper jam?,Carefully follow the instructions on the printer's display to remove the jammed paper. Avoid tearing the paper. If unsure, contact IT.,Peripherals,"peripheral, printer, paper jam, error"
What should I do if paper jam occurs?,Carefully follow the instructions on the printer's display to remove the jammed paper. Avoid tearing the paper. If unsure, contact IT.,Peripherals,"peripheral, printer, paper jam, error"
How do I resolve scanner not working?,Ensure the scanner is powered on and connected to your computer via USB. Reinstalling the scanner driver from the IT portal can often fix issues.,Peripherals,"peripheral, scanner, hardware, driver"
I'm facing an issue with scanner not working.,Ensure the scanner is powered on and connected to your computer via USB. Reinstalling the scanner driver from the IT portal can often fix issues.,Peripherals,"peripheral, scanner, hardware, driver"
"Need help with scanner not working, please.",Ensure the scanner is powered on and connected to your computer via USB. Reinstalling the scanner driver from the IT portal can often fix issues.,Peripherals,"peripheral, scanner, hardware, driver"
Can someone assist me regarding scanner not working?,Ensure the scanner is powered on and connected to your computer via USB. Reinstalling the scanner driver from the IT portal can often fix issues.,Peripherals,"peripheral, scanner, hardware, driver"
What should I do if scanner not working occurs?,Ensure the scanner is powered on and connected to your computer via USB. Reinstalling the scanner driver from the IT portal can often fix issues.,Peripherals,"peripheral, scanner, hardware, driver"
How do I resolve webcam issue?,Check if the webcam is enabled in your system's privacy settings. Ensure no other application is using it. A simple restart can also help.,Peripherals,"peripheral, webcam, camera, video"
I'm facing an issue with webcam issue.,Check if the webcam is enabled in your system's privacy settings. Ensure no other application is using it. A simple restart can also help.,Peripherals,"peripheral, webcam, camera, video"
"Need help with webcam issue, please.",Check if the webcam is enabled in your system's privacy settings. Ensure no other application is using it. A simple restart can also help.,Peripherals,"peripheral, webcam, camera, video"
Can someone assist me regarding webcam issue?,Check if the webcam is enabled in your system's privacy settings. Ensure no other application is using it. A simple restart can also help.,Peripherals,"peripheral, webcam, camera, video"
What should I do if webcam issue occurs?,Check if the webcam is enabled in your system's privacy settings. Ensure no other application is using it. A simple restart can also help.,Peripherals,"peripheral, webcam, camera, video"
How do I resolve request new hardware?,All hardware requests (e.g., new mouse, keyboard, laptop) must be submitted through the IT procurement portal and require manager approval.,Miscellaneous,"request, hardware, procurement, new"
I'm facing an issue with request new hardware.,All hardware requests (e.g., new mouse, keyboard, laptop) must be submitted through the IT procurement portal and require manager approval.,Miscellaneous,"request, hardware, procurement, new"
"Need help with request new hardware, please.",All hardware requests (e.g., new mouse, keyboard, laptop) must be submitted through the IT procurement portal and require manager approval.,Miscellaneous,"request, hardware, procurement, new"
Can someone assist me regarding request new hardware?,All hardware requests (e.g., new mouse, keyboard, laptop) must be submitted through the IT procurement portal and require manager approval.,Miscellaneous,"request, hardware, procurement, new"
What should I do if request new hardware occurs?,All hardware requests (e.g., new mouse, keyboard, laptop) must be submitted through the IT procurement portal and require manager approval.,Miscellaneous,"request, hardware, procurement, new"
How do I resolve book a meeting room?,Meeting rooms can be booked via the calendar in your email client (e.g., Outlook). Search for the room and book it like you would invite a person.,Miscellaneous,"meeting room, booking, calendar, office"
I'm facing an issue with book a meeting room.,Meeting rooms can be booked via the calendar in your email client (e.g., Outlook). Search for the room and book it like you would invite a person.,Miscellaneous,"meeting room, booking, calendar, office"
"Need help with book a meeting room, please.",Meeting rooms can be booked via the calendar in your email client (e.g., Outlook). Search for the room and book it like you would invite a person.,Miscellaneous,"meeting room, booking, calendar, office"
Can someone assist me regarding book a meeting room?,Meeting rooms can be booked via the calendar in your email client (e.g., Outlook). Search for the room and book it like you would invite a person.,Miscellaneous,"meeting room, booking, calendar, office"
What should I do if book a meeting room occurs?,Meeting rooms can be booked via the calendar in your email client (e.g., Outlook). Search for the room and book it like you would invite a person.,Miscellaneous,"meeting room, booking, calendar, office"
How do I resolve IT policy document?,All IT policies, including acceptable use, security, and data handling, are available for review on the company's intranet portal.,Miscellaneous,"policy, document, compliance, rules"
I'm facing an issue with IT policy document.,All IT policies, including acceptable use, security, and data handling, are available for review on the company's intranet portal.,Miscellaneous,"policy, document, compliance, rules"
"Need help with IT policy document, please.",All IT policies, including acceptable use, security, and data handling, are available for review on the company's intranet portal.,Miscellaneous,"policy, document, compliance, rules"
Can someone assist me regarding IT policy document?,All IT policies, including acceptable use, security, and data handling, are available for review on the company's intranet portal.,Miscellaneous,"policy, document, compliance, rules"
What should I do if IT policy document occurs?,All IT policies, including acceptable use, security, and data handling, are available for review on the company's intranet portal.,Miscellaneous,"policy, document, compliance, rules"
How do I resolve contact IT support?,You can contact IT support by raising a ticket on the helpdesk portal, calling the support hotline, or using this chat for assistance.,Miscellaneous,"support, helpdesk, contact, ticket"
I'm facing an issue with contact IT support.,You can contact IT support by raising a ticket on the helpdesk portal, calling the support hotline, or using this chat for assistance.,Miscellaneous,"support, helpdesk, contact, ticket"
"Need help with contact IT support, please.",You can contact IT support by raising a ticket on the helpdesk portal, calling the support hotline, or using this chat for assistance.,Miscellaneous,"support, helpdesk, contact, ticket"
Can someone assist me regarding contact IT support?,You can contact IT support by raising a ticket on the helpdesk portal, calling the support hotline, or using this chat for assistance.,Miscellaneous,"support, helpdesk, contact, ticket"
What should I do if contact IT support occurs?,You can contact IT support by raising a ticket on the helpdesk portal, calling the support hotline, or using this chat for assistance.,Miscellaneous,"support, helpdesk, contact, ticket"
How do I resolve check service status?,You can check the status of all major IT services and any ongoing incidents on the IT Status Page, linked on the intranet homepage.,Miscellaneous,"status, outage, service, system"
I'm facing an issue with check service status.,You can check the status of all major IT services and any ongoing incidents on the IT Status Page, linked on the intranet homepage.,Miscellaneous,"status, outage, service, system"
"Need help with check service status, please.",You can check the status of all major IT services and any ongoing incidents on the IT Status Page, linked on the intranet homepage.,Miscellaneous,"status, outage, service, system"
Can someone assist me regarding check service status?,You can check the status of all major IT services and any ongoing incidents on the IT Status Page, linked on the intranet homepage.,Miscellaneous,"status, outage, service, system"
What should I do if check service status occurs?,You can check the status of all major IT services and any ongoing incidents on the IT Status Page, linked on the intranet homepage.,Miscellaneous,"status, outage, service, system"
hello,Hello! 👋 How can I assist you with your IT needs today?,General,greeting
hi there,Hi! I'm here to help. What can I do for you?,General,greeting
hey,Hey there! How can I help you?,General,greeting
good morning,Good morning! I hope you're having a great day. How can I help?,General,greeting
good afternoon,Good afternoon! What can I assist you with?,General,greeting
good evening,Good evening! How can I help you resolve your IT issue?,General,greeting
how are you?,I'm an AI assistant, so I'm always running at peak performance! How can I help you?,General,well-being
how's it going?,It's going well, thank you for asking! I'm ready to tackle any IT problems you have.,General,well-being
what's up?,I'm here to help with any IT questions you have. What's on your mind?,General,greeting
who are you?,I am an automated IT Helpdesk assistant, designed to help you with common technical issues.,General,identity
what is your name?,I don't have a name, but you can call me your friendly IT Chatbot.,General,identity
what can you do?,I can help answer questions about password resets, software installation, network issues, and many other common IT problems.,General,capability
can you help me?,Of course! That's what I'm here for. Please describe the issue you're facing.,General,capability
thank you,You're very welcome! Is there anything else I can assist you with?,General,gratitude
thanks a lot,You're welcome! I'm glad I could help.,General,gratitude
thanks,No problem at all!,General,gratitude
bye,Goodbye! Have a wonderful day.,General,farewell
goodbye,Farewell! Don't hesitate to reach out if you need help again.,General,farewell
see you later,Take care! I'll be here if you need me.,General,farewell
ok,Great! Let me know if you have any other questions.,General,acknowledgement
okay,Understood. Is there anything further?,General,acknowledgement
got it,Perfect! Glad I could clarify that for you.,General,acknowledgement
that makes sense,Excellent! I'm happy I could help you understand.,General,acknowledgement
tell me a joke,Why don't scientists trust atoms? Because they make up everything!,General,fun
do you have feelings?,As an AI, I don't have feelings, but I'm programmed to be as helpful and positive as possible!,General,identity
are you a robot?,Yes, I am a software robot, also known as a chatbot.,General,identity
what time is it?,I don't have access to the current time, but your device's clock should be accurate.,General,information
what is the date?,I can't access the current date. Please check the calendar on your computer or phone.,General,information
what is the weather like?,I am not equipped to provide weather forecasts. I recommend checking a dedicated weather service.,General,information
can you speak another language?,I am currently configured to communicate only in English.,General,capability
i need help,I am here to help. Please tell me what the problem is.,General,support
help me please,Certainly. Let's solve this together. What is the issue?,General,support
i have a problem,I understand. Please describe the problem in detail so I can assist you.,General,support
something is wrong,Okay, let's figure it out. Can you tell me what's not working?,General,support
it's not working,I see. To help me, could you specify what 'it' is?,General,support
the system is down,I'm sorry to hear that. Can you tell me which system you are referring to so I can check its status?,General,support
i am frustrated,I understand that IT issues can be frustrating. I'll do my best to help you quickly.,General,empathy
this is urgent,I understand the urgency. I will prioritize your request. Please provide the details of the issue.,General,empathy
can you connect me to a human?,If I can't solve your issue, I can help you create a ticket to be escalated to a human agent.,General,escalation
i want to talk to a person,I can help you log a ticket for a support agent to contact you. Would you like me to do that?,General,escalation
is there a support agent available?,I can't check agent availability in real-time, but I can ensure a ticket is logged for the next available person.,General,escalation
how do i create a ticket?,I can create a ticket for you. Please describe your issue, and I will submit it to the helpdesk system.,General,support
what is my ticket number?,Once a ticket is created, I will provide you with the ticket number for your reference.,General,support
can you check my ticket status?,I'm sorry, I don't have the ability to check the status of existing tickets at the moment.,General,capability
where is the IT department?,The IT department is located on the third floor of the main building, but for support, it's best to log a ticket first.,General,information
what are the support hours?,Our IT support team is available from 8 AM to 6 PM on weekdays. Critical issues are monitored 24/7.,General,information
is there a self-service portal?,Yes, you can access the IT self-service portal through the company intranet for password resets and software requests.,General,information
what is the company intranet address?,You can access the intranet at [company intranet address]. It's also linked on your desktop.,General,information
how do I access the VPN from home?,You'll need to install the company's VPN client and use your credentials to log in. You can find the installer on the IT portal.,Network & Connectivity,vpn
my laptop is making a weird noise,A strange noise can indicate a hardware problem, like with the fan or hard drive. Please save your work and raise a ticket with the hardware team.,Hardware,noise
the screen is flickering,Screen flickering can be a driver or a hardware issue. First, try updating your graphics driver. If that doesn't work, contact IT support.,Hardware,screen
my battery drains too fast,Laptop battery life can degrade over time. Try reducing your screen brightness and closing unused applications. If it's a new laptop, it may need a check-up.,Hardware,battery
can i get a new mouse?,If your mouse is broken, you can request a replacement through the IT procurement portal. This requires manager approval.,Peripherals,mouse
how do i set up my dual monitors?,Connect both monitors to your docking station or laptop. Then, go to your computer's display settings to extend or duplicate the screens.,Hardware,monitor
my computer is frozen,If your computer is completely unresponsive, press and hold the power button for about 10 seconds to force a shutdown. Then, restart it.,Hardware,freeze
the application won't open,Try restarting your computer first. If the application still won't open, it might need to be reinstalled. You can request this via the IT portal.,Software,application
i accidentally deleted a file,First, check your computer's Recycle Bin. If it's a file from a network drive, you may be able to restore it from 'Previous Versions' by right-clicking the folder.,Data Management,recovery
how do i clear my browser cache?,In most browsers, you can press Ctrl+Shift+Delete to open the menu for clearing browsing data. Make sure to select 'Cached images and files'.,Software,browser
my video call quality is poor,Poor video quality is often due to a slow internet connection. Try connecting with a network cable instead of WiFi if possible, and close other bandwidth-heavy applications.,Network & Connectivity,video call
i forgot my phone at home, can i still log in?,If your account uses two-factor authentication with your phone, you may not be able to log in without it. Please contact the helpdesk for a temporary access code.,Password & Access,2fa
how do i request a new software license?,If you need a license for a specific software, please submit a request through the IT portal with a business justification for your manager to approve.,Software,license
my email signature is wrong,You can update your email signature in the settings or options menu of your email client, like Outlook or Gmail.,Email & Communication,signature
how do I archive my emails?,In Outlook, you can set up AutoArchive or manually move old emails to an archive PST file to free up space in your mailbox.,Email & Communication,archive
i'm getting too many spam emails,Please use the 'Report Junk' or 'Report Phishing' button in your email client. This helps train the spam filter to be more effective.,Security,spam
can i install a different web browser?,Company policy may restrict which web browsers are approved for use. Please check the software list on the IT portal before installing a new one.,Software,browser
how do i find a shared network folder?,If you know the name of the shared folder, you can usually access it by typing its path into the File Explorer address bar, like `\\servername\foldername`.,Network & Connectivity,shared drive
my headset is not working in a call,Ensure your headset is selected as the default audio device in both your computer's sound settings and the settings of the calling application (e.g., Teams, Zoom).,Peripherals,headset
how do i update my profile picture?,You can usually update your profile picture in the employee self-service portal or your email account settings.,Account Management,profile
i need access to a specific report,Access to reports and data is managed by the data owners. You will need to request access from the relevant department, not IT.,Data Management,access
the office printer is out of toner,Thank you for letting us know. This is usually handled by the office administration team. I will forward the message.,Peripherals,printer
how do i connect my phone to the guest wifi?,You can connect to the 'Company-Guest' WiFi network. It will open a portal in your browser where you need to accept the terms and conditions.,Network & Connectivity,wifi
i think my account has been hacked,If you suspect your account is compromised, please change your password immediately and report the incident to the IT security hotline right away.,Security,hacked
how do i encrypt a file?,You can encrypt files using the built-in tools in your operating system or other approved encryption software. Please check the IT portal for a guide.,Security,encryption
my computer is running very slowly,A slow computer can have many causes. Try closing unnecessary programs and restarting. If it's consistently slow, you can request a health check from IT.,Hardware,performance
can i get a standing desk?,Requests for ergonomic equipment like standing desks are typically handled by the HR or Facilities department, not IT.,Miscellaneous,ergonomics
how do i share my screen in a meeting?,In most meeting software, there is a 'Share Screen' or 'Present' button. You can choose to share your entire screen or a specific window.,Software,screen sharing
i cannot hear anyone in the meeting,Check that your speakers or headset are properly connected and that the volume is turned up. Also, check the audio output settings in the meeting software.,Peripherals,audio
my sent emails are stuck in the outbox,This usually happens if Outlook is in offline mode or if there's a large attachment. Check your connection and try the 'Send/Receive All Folders' button.,Email & Communication,outlook
i need to book a conference room for next week,You can book conference rooms using the calendar feature in Outlook. Create a new meeting and invite the room as if it were a person.,Miscellaneous,booking
what is the IT policy on using personal devices?,The company's Bring Your Own Device (BYOD) policy is available on the intranet. It outlines the security requirements for connecting personal devices to the network.,Security,policy
how do i forward my desk phone?,Instructions for call forwarding are usually available on the intranet or on a sticker on the phone itself. It typically involves dialing a specific code.,Peripherals,phone
my docking station isn't charging my laptop,Ensure you are using the correct power adapter for the docking station and that all cables are securely plugged in. Some docks may not provide enough power for all laptop models.,Hardware,docking station
i need to request a loaner laptop,If you need a temporary laptop while yours is being repaired, you can request one through the IT helpdesk portal. Availability may be limited.,Hardware,loaner
how do i access the company's training materials?,All IT training materials and online courses are available through the Learning Management System (LMS), which is linked on the intranet homepage.,Miscellaneous,training
my password expired and i can't log in,If your password has expired, you should still be prompted to change it upon trying to log in. If not, please use the self-service password reset portal.,Password & Access,expired password
i am a new hire, where do i start?,Welcome! Your manager should provide you with an onboarding plan. For IT, your first step is to log in and change your temporary password.,Account Management,onboarding
how do i set up my voicemail?,You can set up your voicemail by dialing into your extension and following the automated prompts. The default PIN is usually provided in your welcome email.,Peripherals,voicemail
i am having trouble with the timekeeping software,For issues with specific business applications like the timekeeping software, please contact the support team for that application, which is usually managed by HR or Finance.,Software,business application
can i get administrative rights on my computer?,For security reasons, administrative rights are not granted to standard users. Any software installation or system change must be done through IT-approved channels.,Security,admin rights
how do i clear my desk phone's call history?,This process varies by phone model. Please look for a 'Menu' or 'History' button on your phone and follow the on-screen options to clear the call logs.,Peripherals,phone
i need to return a piece of IT equipment,To return equipment, please log a ticket with the IT asset management team to arrange a drop-off or pickup time.,Hardware,asset management
my computer's clock is wrong,The system time is synchronized automatically with the network. If it's incorrect, it might indicate a connectivity issue. Please try restarting your computer.,Miscellaneous,system time
how do i find a person's contact details?,You can find contact information for all employees in the company directory, which is available on the intranet and in your email client's address book.,Miscellaneous,directory
i need to set up a recurring meeting,In your calendar, create a new meeting invitation and look for the 'Recurrence' or 'Repeat' option to set the schedule (e.g., daily, weekly, monthly).,Email & Communication,calendar
my shared calendar is not updating,Calendar sync issues can sometimes occur. Try manually triggering a send/receive in your email client. If it persists, the calendar owner may need to re-share it.,Email & Communication,calendar
how do i add a shared mailbox to my outlook?,You can add a shared mailbox if you have been granted permission. In Outlook's account settings, there is an option to add additional mailboxes.,Email & Communication,shared mailbox
i'm getting a "mailbox full" warning,You will need to delete or archive old emails to free up space. You can sort your mail by size to find the largest items to remove first.,Data Management,mailbox
how do i recall an email in outlook?,You can try to recall an email you've sent, but it only works if the recipient hasn't opened it yet and is within the same organization. Go to your Sent Items, open the message, and look for the 'Recall This Message' option.,Email & Communication,recall
i can't open an attachment someone sent me,The file may be in a format you don't have software for, or it could be blocked by security filters. Ask the sender to re-send it in a different format, like a PDF, or as a zip file.,Email & Communication,attachment
how do i set an out-of-office reply?,In your email client's settings, look for 'Automatic Replies' or 'Out of Office'. You can set a message to be sent automatically to people who email you while you are away.,Email & Communication,out of office
my laptop's fan is very loud,A loud fan usually means the laptop is overheating or working very hard. Ensure the air vents are not blocked and close any intensive applications. If it's always loud, it may need a physical cleaning by IT.,Hardware,fan
how do i connect to the projector in the meeting room?,Most meeting rooms use a wireless connection or an HDMI cable. Look for instructions in the room or a device on the table to start screen sharing.,Peripherals,projector
i need to order a new toner cartridge for the printer,Toner and paper supplies are typically managed by the office administration or facilities team. Please contact them for a replacement.,Peripherals,toner
my work phone's screen is cracked,If your company-issued mobile phone is damaged, please report it to the IT asset management team to see if you are eligible for a repair or replacement.,Hardware,mobile phone
how do i get access to the corporate credit card application?,Access to financial systems is managed by the Finance department. You will need to contact them to request access.,Software,business application
i need to install a font,Requests for new fonts need to be submitted to the IT team to ensure they are properly licensed and do not pose a security risk.,Software,font
my vpn keeps disconnecting,Frequent VPN disconnections are often caused by an unstable home internet connection. Try moving closer to your router or using a wired connection if possible.,Network & Connectivity,vpn
how do i find the MAC address of my computer?,You can find your computer's MAC address by opening a command prompt and typing `ipconfig /all` (on Windows) or `ifconfig` (on macOS/Linux).,Network & Connectivity,mac address
i am getting a security certificate warning in my browser,This can happen if a website's security certificate is expired or invalid. Be cautious about entering any personal information. If it's an internal company site, please report it to IT.,Security,certificate
how do i securely dispose of old documents?,For digital documents, ensure they are permanently deleted. For physical documents containing sensitive information, use the designated secure shredding bins in the office.,Security,disposal
i need to transfer a very large file to a client,For transferring large files externally, please use the company's approved secure file transfer service. Do not use personal file sharing accounts.,Data Management,file transfer
my computer won't shut down properly,Sometimes background processes can prevent a computer from shutting down. Try closing all applications manually first. If it's still stuck, you may have to force a shutdown by holding the power button.,Hardware,shutdown
can i get a second monitor?,Requests for additional hardware like a second monitor require a business justification and must be approved by your manager via the IT procurement portal.,Hardware,monitor
how do i change my default web browser?,You can change your default applications in your operating system's settings. Look for 'Default Apps' and select your preferred web browser.,Software,browser
i need to create a survey or poll,The company has a license for a specific survey tool. Please check the IT portal for information on how to get access and create surveys.,Software,survey tool
how do i use the 'find me' printing feature?,You can send your print job to the secure 'Find Me' queue. Then, go to any printer in the office, tap your ID card, and release your job there.,Peripherals,secure print
my laptop is not recognizing a usb device,Try a different USB port on your laptop. Also, try plugging the USB device into another computer to see if the device itself is the problem.,Hardware,usb
how do i set up a new email account?,New employee email accounts are created automatically as part of the onboarding process managed by HR and IT.,Account Management,new account
i am leaving the company, what do i do with my files?,Please ensure all work-related files are moved from your local computer to the appropriate shared network drive before your last day so your team can access them.,Data Management,offboarding
how do i access my pay stubs online?,Access to the payroll system is managed by the HR department. Please refer to their guidance on how to view your pay stubs online.,Miscellaneous,hr system
i have a suggestion for improving an IT service,We welcome your feedback! Please submit your suggestion through the 'Service Improvement' form on the IT helpdesk portal.,Miscellaneous,feedback
how do i report a bug in a company application?,If you find a bug, please take a screenshot of the error and log a detailed ticket with the IT helpdesk, specifying the application and the steps to reproduce the issue.,Software,bug report
can i take my work laptop on an international trip?,Yes, but please inform the IT security team before you travel. They can provide guidance on data security and help if you have connectivity issues abroad.,Security,travel
how do i connect to the office wifi on my phone?,You can connect to the secure corporate WiFi network. You will need to install a security certificate from the IT portal first. Follow the mobile setup guide.,Network & Connectivity,wifi
i need to record a meeting,Most meeting software has a built-in recording feature. Please be sure to inform all participants that the meeting is being recorded before you start.,Software,recording
my computer is asking for a bitlocker recovery key,BitLocker is a drive encryption feature. If you are prompted for a recovery key, it means there has been a significant system change. Please contact the IT helpdesk immediately to get your key.,Security,bitlocker
how do i find out who is in a mailing list?,In Outlook, you can usually expand a mailing list to see its members by clicking the plus (+) icon next to its name in the 'To' field.,Email & Communication,mailing list
i'm running out of storage space on my computer,Please use the 'Disk Cleanup' utility to remove temporary files. You should also move large work files to the shared network drive instead of storing them locally.,Data Management,storage
how do i create a rule in outlook to manage my emails?,In Outlook, you can right-click an email and select 'Rules' > 'Create Rule' to automatically move, flag, or delete messages based on sender, subject, or content.,Email & Communication,rules
my desk phone's display is not working,Please check if the phone's network cable is securely plugged in, as it also provides power. If it is, the phone may need to be replaced. Please log a ticket.,Peripherals,phone
i need to access an old version of a document,If the document is stored on a shared network drive, you may be able to right-click it and browse 'Previous Versions' to find an older copy.,Data Management,version history
how do i get a new company mobile phone?,New mobile phones or upgrades are based on a refresh cycle or business need. This process is managed by the IT asset team and requires manager approval.,Hardware,mobile phone
i am a manager, how do i request access for my new team member?,Access for new team members should be requested using the 'New Starter' form on the IT portal. You can specify which applications and shared drives they will need.,Account Management,new employee
how do i share my calendar with a colleague?,In your calendar's settings, you can find a 'Share Calendar' option. You can then enter your colleague's email address and choose what level of detail they can see.,Email & Communication,calendar
i can't find a software in the software center,If a software is not listed, it may not be approved for general use. You can log a request with the IT software team to ask if it can be made available.,Software,software center
my computer seems to have a virus, but the antivirus scan is clean,Disconnect from the network immediately and contact the IT security helpdesk. Some malware can hide from standard antivirus scans. Do not continue to use the computer.,Security,virus
how do i change the language on my computer?,You can change the display language of your operating system through the 'Language & Region' settings in your system's control panel or settings menu.,Miscellaneous,language setting
i need to make an international call from my desk phone,Your ability to make international calls may be restricted based on your role. If you need this feature, your manager will need to approve a request to IT.,Peripherals,phone
how do i connect my bluetooth headphones to my laptop?,Ensure your headphones are in pairing mode. Then, go to your laptop's Bluetooth settings and click 'Add a device'. Select your headphones from the list to connect.,Peripherals,bluetooth
i am getting a 'delivery failed' notification for an email i sent,This means the recipient's email address may be incorrect or their mailbox is full. Please double-check the address for any typos and try again.,Email & Communication,delivery failure
how do i find a list of all company holidays?,The official list of company holidays is maintained by the HR department and is usually available on the intranet or in the HR portal.,Miscellaneous,hr
i need to set up a video conference with an external client,You can create a meeting invitation in your calendar and send it to the external client's email address. They will receive a link to join the meeting.,Email & Communication,video conference
my laptop's camera is not detected,First, check if there is a physical shutter covering your camera lens. Also, check your laptop's function keys (e.g., F8, F10) as one might disable the camera.,Hardware,camera
how do i request a new email address or alias?,Requests for additional email addresses or aliases require a business justification and must be submitted as a ticket to the IT helpdesk.,Account Management,alias
i need to access a database,Direct database access is restricted to specific roles. You will need to request access through the IT security portal, and it will require approval from the data owner and your manager.,Data Management,database
how do i find the IP address of my computer?,You can find your computer's IP address by opening a command prompt and typing `ipconfig` (on Windows) or `ifconfig` (on macOS/Linux).,Network & Connectivity,ip address
i am a contractor, how do i get a temporary account?,Contractor accounts are requested by their company sponsor or manager using a specific form on the IT portal. The account will have a set expiration date.,Account Management,contractor
how do i use the office 'hot desking' system?,You can book a desk for the day through the office space booking tool linked on the intranet. When you arrive, you can plug your laptop into any available docking station.,Miscellaneous,hot desking
my computer is asking me to activate windows,This should not happen on a company device. It may indicate a licensing issue. Please take a screenshot of the message and log a ticket with IT support immediately.,Software,activation
how do i find a list of approved software?,A list of all standard, pre-approved software is available for installation in the Software Center or on the IT portal.,Software,approved software
i need to send an encrypted email,In Outlook, you can encrypt an email by going to the 'Options' tab of a new message and selecting 'Encrypt' from the permissions menu.,Security,encryption
my computer is not connecting to the docking station,Ensure the docking station is powered on and that the USB-C or other connecting cable is securely plugged into your laptop. Try restarting the laptop while it is docked.,Hardware,docking station
how do i change my default printer?,In your computer's 'Printers & Scanners' settings, you can select any installed printer and set it as the default for all print jobs.,Peripherals,printer
i need to access a file from a year ago,If the file was on a shared network drive, it should still be there unless it was manually deleted. If you can't find it, you can request IT to check the backups, but this is not guaranteed.,Data Management,backup
how do i update my emergency contact information?,Emergency contacts are managed by the HR department. Please update this information through the employee self-service HR portal.,Miscellaneous,hr
i need to create a shared folder for my team,To request a new shared network folder, your manager needs to submit a ticket to IT specifying the folder name, purpose, and a list of members who need access.,Data Management,shared folder
my computer's screen resolution looks weird,You can adjust your screen resolution by right-clicking on your desktop and going to 'Display settings'. Select the 'Recommended' resolution for your monitor.,Hardware,resolution
how do i get IT support when i am in a different office?,You can use all the same channels: log a ticket on the portal, use this chat, or call the main IT support hotline. Local on-site support can be dispatched if needed.,Miscellaneous,remote support
i need to join a meeting but i don't have the link,Please ask the meeting organizer to re-send the invitation to you. IT does not have access to individual meeting links or schedules.,Email & Communication,meeting link
how do i find a conference room's name or number?,A map of the office, including all conference room names, is available on the intranet. The name is also usually displayed on a sign next to the room's door.,Miscellaneous,conference room
i am having trouble logging into the wifi,Please ensure you are using your standard network credentials and that you are connecting to the secure corporate network, not the guest network.,Network & Connectivity,wifi
my keyboard is typing the wrong characters,This might be due to the keyboard layout language being changed accidentally. Check the language settings in your system's taskbar or settings menu and ensure it is set correctly (e.g., US, UK).,Hardware,keyboard layout
how do i request access to a shared mailbox?,To get access to a shared mailbox, the owner of the mailbox needs to approve your request. Please ask them to log a ticket with IT to add you as a member.,Email & Communication,shared mailbox
i need to set up call forwarding to my mobile phone,You can typically set up call forwarding through your desk phone's menu or through a web portal for the phone system. Check the IT portal for a specific guide.,Peripherals,call forwarding
my computer is making a continuous beeping sound,A beeping sound during startup indicates a hardware failure. Please note the pattern of the beeps (e.g., three short, one long) and contact IT support immediately. Do not use the computer.,Hardware,beep code
how do i find the service tag or serial number of my laptop?,The service tag or serial number is usually on a sticker on the bottom of your laptop. You can also find it by running `wmic bios get serialnumber` in a Windows command prompt.,Hardware,serial number
